third eyes

the force

mind's eye

black art

third eye

inner eye

good vision

keen eyesight

sixth senses

wisdom eye

thought reading

gut feeling

mind reading

palm reading

forward look

sixth sense

second sight

seeing future

normal vision

keen perception

psychic vision

psychic reading

inner prompting

psychic powers

thought transference

inner sense

psychic power

keen intuition

intuitive insight

spiritual eye

divine knowledge

supreme wisdom

telling the future

remote viewing

psychic connection

inborn tendency

natural feeling

natural instinct

fortune telling

innate knowledge

predicting the future

infinite knowledge

forecasting the future

foretelling the future

feeling in one’s bones

psychic ability

mental telepathy

inherent tendency

natural tendency

enlightened perception
